,repo_id,repo_name,data_collection_date,event_type,event_datetime,contributor_name,pr_merge_status
147,25952,yt,2023-02-28 16:46:00,pull_request_created,2023-01-27 15:35:28,chrishavlin,merged
148,25952,yt,2023-02-28 16:46:00,pull_request_created,2023-01-26 16:42:59,Xarthisius,not merged
149,25895,cookie,2023-02-28 16:46:00,pull_request_created,2022-09-05 19:05:50,henryiii,merged
150,26069,Trilinos,2023-02-28 16:46:00,pull_request_created,2019-01-14 15:16:43,csiefer2,merged
151,25952,yt,2023-02-28 16:46:00,pull_request_created,2023-01-26 10:59:50,neutrinoceros,merged
152,25952,yt,2023-02-28 16:46:00,pull_request_created,2023-01-23 10:59:33,neutrinoceros,merged
153,25952,yt,2023-02-28 16:46:00,pull_request_created,2023-01-21 17:09:41,neutrinoceros,merged
154,26069,Trilinos,2023-02-28 16:46:00,pull_request_created,2019-01-14 09:06:41,trilinos-autotester,merged
155,25831,cp2k,2023-02-28 16:46:00,pull_request_created,2023-03-21 16:33:45,gabriele16,merged
156,25952,yt,2023-02-28 16:46:00,pull_request_created,2023-01-20 22:13:40,matthewturk,merged
157,25952,yt,2023-02-28 16:46:00,pull_request_created,2023-01-18 17:51:14,Xarthisius,merged
158,25831,cp2k,2023-02-28 16:46:00,pull_request_created,2023-03-21 08:56:40,mkrack,not merged
159,26069,Trilinos,2023-02-28 16:46:00,pull_request_created,2019-01-12 17:41:36,bathmatt,merged
160,25952,yt,2023-02-28 16:46:00,pull_request_created,2023-01-18 05:28:18,cphyc,not merged
161,25952,yt,2023-02-28 16:46:00,pull_request_created,2023-01-17 19:29:06,neutrinoceros,not merged
162,25952,yt,2023-02-28 16:46:00,pull_request_created,2023-01-16 18:02:08,pre-commit-ci[bot],merged
163,25831,cp2k,2023-02-28 16:46:00,pull_request_created,2023-03-20 17:41:57,mkrack,merged
164,25952,yt,2023-02-28 16:46:00,pull_request_created,2023-01-13 15:42:04,matthewturk,not merged
165,25831,cp2k,2023-02-28 16:46:00,pull_request_created,2023-03-19 14:53:00,oschuett,merged
166,25952,yt,2023-02-28 16:46:00,pull_request_created,2023-01-13 09:53:09,neutrinoceros,not merged
167,25952,yt,2023-02-28 16:46:00,pull_request_created,2023-01-13 09:26:43,neutrinoceros,merged
168,25952,yt,2023-02-28 16:46:00,pull_request_created,2023-01-11 22:53:44,neutrinoceros,not merged
169,25952,yt,2023-02-28 16:46:00,pull_request_created,2023-01-11 22:35:11,neutrinoceros,merged
170,25831,cp2k,2023-02-28 16:46:00,pull_request_created,2023-03-17 17:02:27,mkrack,merged
171,26069,Trilinos,2023-02-28 16:46:00,pull_request_created,2019-01-12 01:03:41,lucbv,merged
172,25831,cp2k,2023-02-28 16:46:00,pull_request_created,2023-03-17 15:34:05,mkrack,merged
173,25952,yt,2023-02-28 16:46:00,pull_request_created,2023-01-10 22:05:27,neutrinoceros,merged
174,25952,yt,2023-02-28 16:46:00,pull_request_created,2023-01-10 19:20:39,Xarthisius,merged
175,25831,cp2k,2023-02-28 16:46:00,pull_request_created,2023-03-17 13:25:03,mkrack,merged
176,25952,yt,2023-02-28 16:46:00,pull_request_created,2023-01-09 17:57:20,pre-commit-ci[bot],merged
177,25831,cp2k,2023-02-28 16:46:00,pull_request_created,2023-03-16 21:53:48,oschuett,merged
178,25831,cp2k,2023-02-28 16:46:00,pull_request_created,2023-03-16 15:11:51,mkrack,merged
179,25831,cp2k,2023-02-28 16:46:00,pull_request_created,2023-03-16 13:50:30,BelizSertcan,merged
180,25939,ompi,2023-02-28 16:46:00,pull_request_created,2021-03-16 21:45:33,rajachan,merged
181,25831,cp2k,2023-02-28 16:46:00,pull_request_created,2023-03-16 12:44:44,fstein93,merged
182,25831,cp2k,2023-02-28 16:46:00,pull_request_created,2023-03-16 10:57:52,BelizSertcan,merged
183,25952,yt,2023-02-28 16:46:00,pull_request_created,2023-01-08 21:15:38,Xarthisius,merged
184,25952,yt,2023-02-28 16:46:00,pull_request_created,2023-01-08 16:58:06,neutrinoceros,merged
185,25952,yt,2023-02-28 16:46:00,pull_request_created,2023-01-07 12:05:43,neutrinoceros,merged
186,25831,cp2k,2023-02-28 16:46:00,pull_request_created,2023-03-16 10:11:26,mkrack,merged
187,25952,yt,2023-02-28 16:46:00,pull_request_created,2023-01-02 18:16:49,neutrinoceros,merged
188,25831,cp2k,2023-02-28 16:46:00,pull_request_created,2023-03-14 15:14:23,juerghutter,merged
189,25831,cp2k,2023-02-28 16:46:00,pull_request_created,2023-03-14 10:33:15,fbelle,merged
190,25831,cp2k,2023-02-28 16:46:00,pull_request_created,2023-03-13 16:13:28,mkrack,merged
191,25831,cp2k,2023-02-28 16:46:00,pull_request_created,2023-03-13 12:53:54,glb96,merged
192,25952,yt,2023-02-28 16:46:00,pull_request_created,2022-12-30 14:13:04,neutrinoceros,merged
193,25831,cp2k,2023-02-28 16:46:00,pull_request_created,2023-03-13 08:44:18,edditler,merged
194,25831,cp2k,2023-02-28 16:46:00,pull_request_created,2023-03-12 08:09:08,mkrack,merged
195,25831,cp2k,2023-02-28 16:46:00,pull_request_created,2023-03-11 18:16:06,oschuett,merged
196,25831,cp2k,2023-02-28 16:46:00,pull_request_created,2023-03-10 13:55:52,fbelle,merged
197,25831,cp2k,2023-02-28 16:46:00,pull_request_created,2023-03-10 13:21:00,mattiatj,merged
198,25952,yt,2023-02-28 16:46:00,pull_request_created,2022-12-29 18:13:43,neutrinoceros,merged
199,25952,yt,2023-02-28 16:46:00,pull_request_created,2022-12-29 13:54:50,neutrinoceros,not merged
200,25831,cp2k,2023-02-28 16:46:00,pull_request_created,2023-03-10 13:01:57,juerghutter,merged
201,25831,cp2k,2023-02-28 16:46:00,pull_request_created,2023-03-10 11:17:22,fbelle,not merged
202,25831,cp2k,2023-02-28 16:46:00,pull_request_created,2023-03-10 09:16:54,oschuett,merged
203,25831,cp2k,2023-02-28 16:46:00,pull_request_created,2023-03-09 18:33:31,mkrack,merged
204,25831,cp2k,2023-02-28 16:46:00,pull_request_created,2023-03-09 16:32:25,juerghutter,merged
205,25831,cp2k,2023-02-28 16:46:00,pull_request_created,2023-03-09 14:39:37,juerghutter,merged
